연도,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,POS_EN
2024,58,손성빈,롯데,포수,86,52,445.6666666666667,4,1,414,25,5,0.991,0,17,3,15.0,C
2024,60,김현수,LG,좌익수,84,80,606.0,0,0,115,4,1,1.0,0,0,0,,LF
2024,60,김기연,두산,포수,84,61,579.0,2,0,474,25,4,0.996,6,42,7,14.3,C
2024,62,레이예스,롯데,우익수,83,81,664.6666666666666,4,0,126,0,0,0.969,0,0,0,,RF
2024,63,김민혁,KT,좌익수,82,70,553.0,2,0,128,1,0,0.985,0,0,0,,LF
2024,63,황영묵,한화,2루수,82,54,518.0,8,0,143,174,43,0.975,0,0,0,,2B
2024,65,로하스,KT,우익수,80,75,575.0,2,0,119,3,0,0.984,0,0,0,,RF
2024,65,손호영,롯데,3루수,80,73,640.6666666666666,13,0,58,116,12,0.93,0,0,0,,3B
2024,67,라모스,두산,우익수,79,79,654.6666666666666,4,0,123,4,0,0.969,0,0,0,,RF
2024,68,김상수,KT,유격수,78,71,581.6666666666666,10,0,120,151,31,0.964,0,0,0,,SS
2024,69,노경은,SSG,투수,77,0,83.66666666666667,1,0,2,7,0,0.9,0,0,0,,P
2024,69,이병헌,두산,투수,77,0,65.33333333333333,1,0,2,13,0,0.938,0,0,0,,P
2024,71,조병현,SSG,투수,76,0,73.0,2,0,6,2,0,0.8,0,0,0,,P
2024,71,양의지,두산,포수,76,74,608.3333333333334,4,0,551,24,4,0.993,8,51,8,13.6,C
2024,73,김민수,KT,투수,75,0,81.33333333333333,2,0,6,15,1,0.913,0,0,0,,P
2024,73,장현식,KIA,투수,75,0,75.33333333333333,0,1,5,17,1,1.0,0,0,0,,P
2024,73,채은성,한화,1루수,75,73,601.3333333333334,7,0,548,23,61,0.988,0,0,0,,1B
2024,76,김태혁,롯데,투수,74,0,73.66666666666667,1,0,1,13,0,0.933,0,0,0,,P
2024,76,류지혁,삼성,2루수,74,62,461.0,5,0,104,114,22,0.978,0,0,0,,2B
2024,78,안주형,삼성,2루수,73,34,360.3333333333333,3,0,76,111,22,0.984,0,0,0,,2B
2024,78,장진혁,한화,중견수,73,66,562.3333333333334,1,0,142,1,0,0.993,0,0,0,,CF
2024,80,김진성,LG,투수,71,0,70.66666666666667,1,0,4,5,1,0.9,0,0,0,,P
2024,80,김민,KT,투수,71,1,77.33333333333333,0,0,4,9,0,1.0,0,0,0,,P
2024,80,박세혁,NC,포수,71,36,357.3333333333333,3,0,290,18,2,0.99,3,33,5,13.2,C
2024,80,곽도규,KIA,투수,71,0,55.66666666666666,3,0,3,7,0,0.769,0,0,0,,P
2024,80,이재원,한화,포수,71,40,354.0,1,0,304,27,3,0.997,6,31,12,27.9,C
2024,85,조수행,두산,좌익수,70,52,491.3333333333333,1,0,143,2,0,0.993,0,0,0,,LF
2024,85,한승혁,한화,투수,70,0,62.66666666666666,1,0,5,8,0,0.929,0,0,0,,P
2024,87,한두솔,SSG,투수,69,0,59.333333333333336,1,0,2,5,0,0.875,0,0,0,,P
2024,87,김재열,NC,투수,69,0,68.66666666666667,2,0,3,5,0,0.8,0,0,0,,P
2024,87,김태연,한화,우익수,69,68,526.0,2,0,81,4,0,0.977,0,0,0,,RF
2024,90,김휘집,NC,유격수,68,62,501.0,9,0,80,146,32,0.962,0,0,0,,SS
2024,90,박건우,NC,우익수,68,67,522.0,1,0,104,3,0,0.991,0,0,0,,RF
2024,92,오재일,KT,1루수,67,54,491.0,3,0,416,27,35,0.993,0,0,0,,1B
2024,92,나성범,KIA,우익수,67,67,505.0,1,0,91,5,1,0.99,0,0,0,,RF
2024,94,박영현,KT,투수,66,0,76.66666666666667,1,0,4,5,0,0.9,0,0,0,,P
