연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ISO,BB_pct,K_pct,BABIP,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2025,28,한유섬,SSG,0.273,128,511,455,50,124,24,0,15,193,71,1,2,46.0,3.0,7.0,120.0,6.0,0.424,0.347,0.771,36.0,0.291,0.333,0.1509999999999999,0.0900195694716242,0.2348336594911937,0.3385093167701863,39,94,119,0.79,8,0.38,3.95,0.152,67.1,0.262
2025,29,고승민,롯데,0.271,121,538,469,71,127,21,2,4,164,45,6,4,56.0,1.0,3.0,83.0,8.0,0.35,0.35,0.7,36.0,0.241,0.0,0.0789999999999999,0.104089219330855,0.1542750929368029,0.3186528497409326,27,126,137,0.92,6,0.67,4.0,0.079,60.8,0.245
2025,30,강민호,삼성,0.269,127,465,412,37,111,23,1,12,172,71,1,7,38.0,4.0,7.0,69.0,16.0,0.417,0.336,0.753,26.0,0.333,0.3,0.1479999999999999,0.0817204301075268,0.1483870967741935,0.2928994082840236,36,130,109,1.19,6,0.55,3.62,0.148,56.1,0.255
2025,31,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,0,34.0,2.0,3.0,158.0,11.0,0.432,0.323,0.755,32.0,0.239,0.143,0.1669999999999999,0.0717299578059071,0.3333333333333333,0.3754789272030651,36,92,71,1.3,7,0.22,4.07,0.167,56.7,0.253
2025,32,노시환,한화,0.26,144,624,539,97,140,28,2,32,268,101,0,4,70.0,10.0,11.0,125.0,22.0,0.497,0.354,0.851,37.0,0.29,0.0,0.237,0.1121794871794871,0.2003205128205128,0.2797927461139896,62,121,157,0.77,16,0.56,3.94,0.237,91.3,0.284
2025,33,정수빈,두산,0.258,132,546,462,89,119,16,4,6,161,38,8,4,61.0,2.0,11.0,57.0,7.0,0.348,0.355,0.703,27.0,0.212,1.0,0.0899999999999999,0.1117216117216117,0.1043956043956044,0.2803970223325062,26,182,108,1.69,1,1.07,3.96,0.091,63.5,0.247
2025,34,이재현,삼성,0.254,139,555,457,82,116,29,1,16,195,67,10,8,69.0,1.0,11.0,119.0,8.0,0.427,0.36,0.787,29.0,0.256,0.333,0.173,0.1243243243243243,0.2144144144144144,0.303030303030303,46,88,142,0.62,6,0.58,4.37,0.173,76.6,0.269
2025,35,오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6,37.0,0.0,3.0,115.0,4.0,0.43,0.314,0.744,27.0,0.283,0.333,0.177,0.0783898305084745,0.2436440677966101,0.3061224489795918,41,90,114,0.79,6,0.32,4.19,0.177,58.8,0.249
2025,36,박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5,62.0,4.0,2.0,124.0,10.0,0.455,0.342,0.797,27.0,0.235,0.143,0.202,0.1185468451242829,0.2370936902485659,0.2967741935483871,47,110,108,1.02,8,0.5,3.89,0.202,72.2,0.268
2025,37,김휘집,NC,0.249,142,500,429,64,107,18,2,17,180,56,2,2,40.0,0.0,27.0,89.0,9.0,0.42,0.349,0.769,29.0,0.242,0.333,0.1709999999999999,0.08,0.178,0.2769230769230769,37,95,140,0.68,11,0.45,3.9,0.17,66.3,0.262
2025,38,김영웅,삼성,0.249,125,499,446,66,111,22,2,22,203,72,0,3,48.0,3.0,2.0,143.0,6.0,0.455,0.323,0.778,25.0,0.268,0.0,0.206,0.096192384769539,0.2865731462925852,0.3133802816901408,46,83,112,0.74,3,0.34,3.97,0.206,66.9,0.259
2025,39,장성우,KT,0.247,129,480,413,44,102,13,0,14,157,58,2,8,55.0,1.0,2.0,96.0,13.0,0.38,0.333,0.713,25.0,0.191,0.25,0.133,0.1145833333333333,0.2,0.2829581993569132,27,86,137,0.63,8,0.57,4.01,0.133,55.5,0.245
2025,40,권희동,NC,0.246,136,456,358,56,88,24,0,6,130,39,8,2,77.0,0.0,11.0,80.0,10.0,0.363,0.393,0.756,21.0,0.247,0.077,0.1169999999999999,0.168859649122807,0.175438596491228,0.2992700729927007,30,103,89,1.16,4,0.96,4.47,0.117,56.6,0.268
2025,41,최원준,NC,0.242,126,449,413,62,100,13,3,6,137,44,2,5,23.0,0.0,6.0,71.0,5.0,0.332,0.289,0.621,24.0,0.224,0.2,0.09,0.0512249443207126,0.1581291759465478,0.2756598240469208,22,132,115,1.15,3,0.32,3.78,0.09,43.4,0.213
2025,42,이주형,키움,0.24,127,514,446,55,107,22,1,11,164,45,3,0,37.0,2.0,28.0,115.0,7.0,0.368,0.337,0.705,28.0,0.257,0.222,0.128,0.0719844357976653,0.2237354085603113,0.3,34,131,93,1.41,5,0.32,3.75,0.128,59.6,0.244
2025,43,위즈덤,KIA,0.236,119,486,424,73,100,20,1,35,227,85,0,6,52.0,2.0,4.0,142.0,9.0,0.535,0.321,0.856,25.0,0.207,0.2,0.299,0.1069958847736625,0.2921810699588477,0.2569169960474308,56,67,121,0.55,5,0.37,4.39,0.3,75.8,0.278
2026,1,박성한,SSG,0.494,21,99,79,17,39,9,1,1,53,20,0,1,18.0,0.0,1.0,9.0,1.0,0.615,0.541,1.156,13.0,0.565,0.0,0.121,0.1818181818181818,0.0909090909090909,0.5428571428571428,11,18,16,1.13,2,2.57,4.21,0.177,26.4,0.431
2026,2,류지혁,삼성,0.421,21,91,76,18,32,7,1,2,47,14,0,0,15.0,1.0,0.0,16.0,2.0,0.615,0.481,1.096,11.0,0.381,0.0,0.194,0.1648351648351648,0.1758241758241758,0.5172413793103449,10,16,18,0.89,1,1.5,3.96,0.197,21.3,0.387
2026,3,박준순,두산,0.397,20,82,78,8,31,4,2,3,48,14,0,0,3.0,0.0,3.0,21.0,1.0,0.589,0.427,1.016,12.0,0.444,0.0,0.1919999999999999,0.0365853658536585,0.2560975609756097,0.5185185185185185,9,16,11,1.45,4,0.05,3.27,0.218,16.6,0.346
2026,4,천성호,LG,0.368,20,66,57,12,21,4,0,1,28,8,1,0,8.0,0.0,1.0,10.0,3.0,0.471,0.43,0.901,8.0,0.267,0.5,0.1029999999999999,0.1212121212121212,0.1515151515151515,0.4347826086956521,5,21,6,3.5,0,0.78,3.79,0.123,11.2,0.323
2026,5,페라자,한화,0.366,21,100,82,21,30,8,0,2,44,13,0,2,18.0,1.0,0.0,15.0,2.0,0.587,0.464,1.051,8.0,0.375,0.0,0.2209999999999999,0.18,0.15,0.417910447761194,10,15,26,0.58,1,1.23,4.09,0.171,20.3,0.341
2026,5,레이예스,롯데,0.366,21,93,82,9,30,3,0,5,48,13,0,1,9.0,2.0,1.0,16.0,2.0,0.531,0.402,0.933,10.0,0.412,0.0,0.165,0.0967741935483871,0.1720430107526881,0.4032258064516129,8,16,25,0.64,0,0.75,3.38,0.22,18.6,0.34
2026,7,고명준,SSG,0.365,17,68,63,9,23,5,0,4,40,12,0,0,,,,,,,,,,,,,,,,9,12,14,0.86,2,0.36,3.28,0.27,14.5,0.344
2026,8,문현빈,한화,0.364,20,94,77,18,28,7,2,5,54,22,0,0,17.0,0.0,2.0,12.0,4.0,0.675,0.48,1.155,7.0,0.381,0.0,0.311,0.1808510638297872,0.1276595744680851,0.3833333333333333,14,20,17,1.18,1,1.25,3.67,0.338,21.0,0.391
2026,9,문성주,LG,0.356,21,86,73,6,26,5,0,0,31,10,2,2,9.0,2.0,2.0,11.0,0.0,0.45,0.441,0.891,8.0,0.429,1.0,0.094,0.1046511627906976,0.127906976744186,0.40625,5,18,22,0.82,3,0.78,3.95,0.068,13.4,0.294
2026,10,박민우,NC,0.338,20,87,74,15,25,7,0,1,35,14,0,0,12.0,0.0,2.0,12.0,2.0,0.452,0.424,0.876,9.0,0.44,0.0,0.1139999999999999,0.1379310344827586,0.1379310344827586,0.3934426229508196,8,18,19,0.95,2,0.92,3.95,0.135,15.9,0.315
2026,11,오스틴,LG,0.333,21,97,84,19,28,4,1,6,52,16,0,1,13.0,1.0,0.0,11.0,1.0,0.612,0.429,1.041,9.0,0.345,0.0,0.2789999999999999,0.134020618556701,0.1134020618556701,0.3235294117647059,11,19,28,0.68,3,1.2,3.67,0.286,19.7,0.34
2026,12,김선빈,KIA,0.329,21,88,70,11,23,4,0,1,30,13,0,1,18.0,1.0,1.0,7.0,1.0,0.407,0.436,0.843,7.0,0.348,1.0,0.0779999999999999,0.2045454545454545,0.0795454545454545,0.3492063492063492,5,29,13,2.23,0,2.67,4.19,0.1,14.7,0.312
2026,13,이우성,NC,0.322,19,67,59,9,19,6,0,3,34,3,0,0,8.0,0.0,0.0,13.0,1.0,0.537,0.387,0.924,6.0,0.083,0.0,0.215,0.1194029850746268,0.1940298507462686,0.3720930232558139,9,15,13,1.15,0,0.67,4.01,0.254,12.7,0.325
2026,14,김호령,KIA,0.318,22,101,88,14,28,8,0,1,39,10,3,0,8.0,0.0,3.0,22.0,1.0,0.4,0.36,0.76,12.0,0.25,0.0,0.082,0.0792079207920792,0.2178217821782178,0.4153846153846154,9,26,16,1.63,0,0.39,3.58,0.125,14.2,0.285
2026,15,김현수,KT,0.316,22,103,95,14,30,8,0,3,47,20,0,0,10.0,0.0,0.0,15.0,4.0,0.481,0.371,0.852,12.0,0.323,0.0,0.1649999999999999,0.0970873786407767,0.145631067961165,0.3506493506493506,11,30,23,1.3,2,0.67,3.8,0.179,14.6,0.29
2026,16,최원준,KT,0.311,21,104,90,16,28,8,1,0,38,11,0,1,13.0,0.0,1.0,19.0,0.0,0.431,0.385,0.816,9.0,0.261,0.0,0.12,0.125,0.1826923076923076,0.3888888888888889,9,20,26,0.77,1,0.76,3.97,0.111,14.8,0.283
2026,17,노진혁,롯데,0.3,21,81,70,5,21,8,0,3,38,11,0,1,11.0,0.0,0.0,21.0,1.0,0.524,0.362,0.886,7.0,0.269,0.5,0.224,0.1358024691358024,0.2592592592592592,0.3829787234042553,11,11,21,0.52,1,0.56,3.89,0.243,13.9,0.308
2026,17,데일,KIA,0.3,21,90,80,14,24,4,0,1,31,6,1,1,10.0,1.0,0.0,10.0,4.0,0.375,0.364,0.739,5.0,0.2,1.0,0.075,0.1111111111111111,0.1111111111111111,0.3285714285714285,5,29,19,1.53,0,0.89,3.78,0.088,10.5,0.259
2026,19,박찬호,두산,0.296,22,99,81,21,24,6,0,1,33,6,3,0,16.0,1.0,0.0,18.0,4.0,0.426,0.4,0.826,7.0,0.25,1.0,0.13,0.1616161616161616,0.1818181818181818,0.3709677419354839,7,21,19,1.11,0,0.88,3.79,0.111,14.1,0.284
2026,20,한태양,롯데,0.295,20,70,61,7,18,3,0,0,21,1,1,0,7.0,0.0,1.0,19.0,0.0,0.292,0.325,0.617,3.0,0.111,0.0,-0.003,0.1,0.2714285714285714,0.4285714285714285,3,14,17,0.82,0,0.58,4.0,0.049,9.2,0.256
2026,21,강백호,한화,0.292,21,97,89,13,26,5,0,4,43,24,0,1,7.0,0.0,0.0,20.0,0.0,0.475,0.339,0.814,10.0,0.469,0.0,0.183,0.0721649484536082,0.2061855670103092,0.3333333333333333,9,28,19,1.47,1,0.41,3.86,0.191,14.8,0.274
2026,22,디아즈,삼성,0.289,21,96,83,15,24,4,0,3,37,15,0,1,13.0,0.0,0.0,15.0,3.0,0.473,0.383,0.856,6.0,0.259,0.0,0.184,0.1354166666666666,0.15625,0.3181818181818182,7,18,27,0.67,1,0.8,4.02,0.157,13.6,0.28
2026,23,최형우,삼성,0.286,21,98,77,13,22,3,0,4,37,16,0,1,22.0,0.0,2.0,10.0,5.0,0.477,0.441,0.918,4.0,0.2,0.0,0.191,0.2244897959183673,0.1020408163265306,0.28125,7,23,26,0.88,1,2.57,3.98,0.195,15.7,0.313
2026,24,박건우,NC,0.278,21,82,72,9,20,5,0,4,37,12,0,0,10.0,1.0,0.0,20.0,2.0,0.542,0.376,0.918,9.0,0.28,0.0,0.264,0.1219512195121951,0.2439024390243902,0.3333333333333333,9,9,24,0.38,2,0.53,3.54,0.236,13.0,0.293
2026,25,문보경,LG,0.277,20,87,65,9,18,3,0,2,27,11,0,2,20.0,1.0,1.0,18.0,3.0,0.405,0.431,0.836,5.0,0.4,0.0,0.128,0.2298850574712643,0.2068965517241379,0.3404255319148936,5,17,16,1.06,1,1.19,4.13,0.138,13.9,0.3
2026,26,한동희,롯데,0.273,17,71,66,5,18,4,0,0,22,4,0,0,4.0,0.0,1.0,15.0,4.0,0.308,0.301,0.609,6.0,0.19,0.0,0.0349999999999999,0.056338028169014,0.2112676056338028,0.3529411764705882,4,21,16,1.31,1,0.36,3.52,0.061,6.2,0.229
2026,27,한준수,KIA,0.269,21,71,52,9,14,4,0,2,24,8,3,1,15.0,2.0,0.0,9.0,5.0,0.433,0.408,0.841,5.0,0.385,0.0,0.1639999999999999,0.2112676056338028,0.1267605633802817,0.2857142857142857,6,12,20,0.6,1,2.14,4.1,0.192,10.6,0.307
2026,28,이주형,키움,0.268,20,90,82,12,22,8,1,2,38,12,0,0,5.0,0.0,3.0,17.0,0.0,0.463,0.333,0.796,5.0,0.25,0.0,0.195,0.0555555555555555,0.1888888888888888,0.3174603174603174,11,22,21,1.05,3,0.29,3.66,0.195,13.1,0.266
2026,29,최정,SSG,0.267,21,93,75,13,20,7,1,3,38,9,0,1,15.0,1.0,3.0,22.0,0.0,0.6,0.404,1.004,5.0,0.2,0.0,0.3329999999999999,0.1612903225806451,0.2365591397849462,0.3333333333333333,11,12,25,0.48,2,0.74,3.91,0.24,16.2,0.306
